Column,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seventh Author,Abstract
x,Better together: Collaborating on a community-led initiative to develop a survey of Canadian Dataverse administrators,Meghan Goodchild,Alisa Rod,Shahira Khair,Alexander Jerabek,Danica Evering,Tara Stieglitz,,"<p>In response to the open science movement and the growth of funder and journal policies, researchers are increasingly looking for support in depositing and sharing their research data. Responding to this need by developing accessible and inclusive services and infrastructure, Borealis is a publicly accessible, multi-disciplinary, bilingual, national research data repository, based on the open-source Dataverse software, provided in partnership with regional academic library consortia and the Digital Research Alliance of Canada. The shared infrastructure supports over 65 Canadian institutions, each managing a locally-branded collection and providing local support to researchers. With support of the Borealis team and the Dataverse North Expert Group, a national-level community of Dataverse administrators is coalescing, consisting of librarians or other information specialists.</p>

<p>This presentation will highlight the results of a community-driven initiative to survey Canadian Dataverse administrators to develop a better understanding of this community - who they are, the service models they support, their experiences using the Dataverse software, and the challenges they face supporting researchers; as well as to surface unique perceptions and perspectives of this emerging national community. Understanding both the infrastructure and the community&rsquo;s collaborative approach lays important groundwork to move forward with engaging smaller institutions, such as community colleges, as well as historically marginalized populations&ndash;both as data custodians and potential depositors. The presentation will highlight the process of developing this community-informed survey, including the formation of a working group of community members and diverse stakeholders from across Canada, questionnaire development and pre-testing. The Canadian Dataverse administrator community represents a unique effort to build equitable data sharing infrastructure that is national in scope and reflective of community needs. The presenters will conclude by sharing preliminary aggregated results and discuss the importance of collaborative approaches to implementing data repository infrastructure in a way that encourages continuing adaptability to diverse community needs.</p>"
x,Archiving Experiments: A Time-sharing Experiments for the Social Sciences (TESS) and Roper Center Collaboration,Jessica Ko,,,,,,,"<p>With over 250 experimental surveys conducted on behalf of faculty and graduate students and full funding from the National Science Foundation (NSF), the Time-sharing Experiments for the Social Sciences (TESS) has been an invaluable resource in the political science community. The Roper Center for Public Opinion Research has worked to archive the past 10 years of this experimental data both at the study level and question level. New features in Roper Center&rsquo;s archival management software enabled full integration of these surveys into our iPoll database spanning over 75 years of polling, while preserving their distinction as experimental surveys. The curation approach and technology together allow for presentation of independently understandable experimental questions including any images and information the respondents may have been shown. This presentation will include a walkthrough of the experimental database as well as processes involved in archiving experimental data, including the gathering of summary information to allow for independently understandable questions and partnering with outside institutions for data entry.</p>"
x,Stewarding Our Resources: Building a Sustainable IPUMS Archival Document Access System,Diana Magnuson,,,,,,,"<p>IPUMS International (IPUMS-I) is one of nine IPUMS data projects. Begun in 1999, IPUMS-I now contains 1.1-billion person records spanning over one hundred countries. The focus of IPUMS-I is collecting and preserving data and documentation, harmonizing, and disseminating data. As part of IPUMS-I harmonization work, tens of thousands of supporting ancillary materials came from United States Census Bureau (USCB), United Nations Statistical Division (UNSD), Latin American and Caribbean Demographic Center (CELADE), The East West Center, Centre Population et D&eacute;veloppement (CEPED), and over one hundred statistical agencies. Archival staff have been preserving thousands of unique pieces of census and survey documentation, creating bibliographic records using an expanded Dublin Core profile that supports the use of controlled vocabularies to enhance findability for the project staff and users. Examples of this material include correspondence, maps, enumerator instructions, supervisor instructions, training materials, codebooks, publicity, reports, newspaper clippings, unpublished papers, census timetables, data processing materials, and technical manuals.</p>

<p>Preservation and dissemination of our data products is already part of IPUMS workflows. IPUMS current document access system is static and limited to international census forms and enumerator instructions. Expanding and deepening this search and delivery system will provide findability and accessibility to a rich set of supporting archival documentation that will illuminate census development and implementation processes across the world. For example, access to materials documenting the development of enumeration forms and procedures over time supports researchers&rsquo; understanding of how statistical entities responded to the challenges of collecting demographic data on difficult to enumerate populations.</p>

<p>Creating a sustainable, discoverable, and searchable access system for a broad range of archival census and survey materials will support the IPUMS mission to democratize access to the world&rsquo;s social and economic data and support transformative scholarship.</p>"
x,Gay Rights Research and Advocacy in Nigeria: The Place of Data Mining and Data Visualization,Sophia Adeyeye,Taofeek Abiodun Oladokun,,,,,,"<p>The prevailing attitude towards LGBTQ people in Nigeria is generally hostile. This has led to the criminalization of homosexual activities which means that LGBTQ people risk up to 14 years in prison for expressing their sexual orientation. This institutionalization of anti-gay sentiments has also exposed LGBTQ people to discrimination, sexual harassment, bullying, physical and mental torture. This is contrary to the spirit of inclusive society being promoted all over the world and which is needed for sustainable development. One of the means of justifying the discrimination and violence against LGBTQ people in Nigeria is the distortion of facts, emotional blackmail, and scare-mongering among the general populace. As a result, the best way to counter this narrative and support LGBTQ people in Nigeria is through purposeful, consistent and comprehensive collection of data which will then be strategically communicated to different audiences in order to modify attitude, policies and create a safe environment for LGBTQ people in Nigeria. However, there is an acute lack of data on LGBTQ issues in Nigeria with the available data scattered in unstructured and disparate sources making it difficult for researchers and activists to obtain a true picture of issues relating to LGBTQ people in Nigeria and effectively advocate for the decriminalization of gay activities in Nigeria. This paper therefore aims to explore how data science in the form of data mining and data visualization can be used to support a robust advocacy for gay rights in Nigeria. It will also analyse the available sources of data on LGBTQ people in Nigeria, efforts targeted at data collection and tools that can be used to create a reliable data bank for researchers, activists and right groups supporting the LGBTQ people in Nigeria.</p>"
x,Studying Data Citations and Articles to Assess Current Data Use by Diverse Users,Robert Downs,Robert Chen,Joachim Schumacher,Alexander de Sherbinin,Susana Adamo,,,"<p>To meet the evolving needs of diverse data users and support the state-of-the-art in scientific research and applications, data centers and other data archives and repositories that serve multiple scientific disciplines need to understand how to improve services offered to their user communities. Analyzing how data have been used in research&mdash;as described in recent scientific publications&mdash;is valuable in identifying user needs as well as opportunities to expand support for current and potential data users. Such efforts are especially important for characterizing the needs of interdisciplinary research efforts, in which data from diverse disciplines and sources are accessed, integrated, and analyzed in innovative ways. As part of the quest to identify current and future needs of its interdisciplinary user community, SEDAC, the NASA Socioeconomic Data and Applications Center, is studying data citations and the content of articles that recently cited SEDAC data to better understand the data challenges that interdisciplinary researchers face and the methods and approaches used to overcome these challenges. Aspects of data use being investigated include the composition of research teams (including both author disciplines and the institutions and countries represented), datasets used, types of data use, and tools used with the data, as reported in published articles in different types of journals. We report on the findings of the current study within the context of previous studies on interdisciplinary data use.</p>"
x,Diversity in data: Lessons from interdisciplinary practices,Inna Kouper,Jonathan Petters,Thea Lindquist,,,,,"<p>Interdisciplinary research has seen a substantial growth in the past several decades, and data management plays a crucial role in this trend. New tools and sources of data drive interdisciplinarity and collaborations, and, in turn, interdisciplinary research produces complex, heterogeneous datasets that require different forms of data management and curation. How do interdisciplinary project members negotiate their work around diverse datasets? What role do ethics play in their data practices? How do interdisciplinary teams approach privacy and confidentiality as they collect, store, and organize their heterogeneous datasets? Previous research on interdisciplinary research practices often addresses issues of team dynamics rather than data management and curation. In this presentation we will share results from our study examining several interdisciplinary projects and their complex data practices.</p>

<p>Through interviews, observations, and document analysis we have gathered a rich dataset about interdisciplinary data management and curation, and the role of universities in supporting such projects. We will illustrate how interdisciplinary projects, primarily in the social sciences and humanities, collaborate internally and externally and use tools and resources to share, organize, and curate their data. In particular, we will present a use case exhibiting the challenges and nuances of working with vulnerable or historically underrepresented populations. Our findings show that individual disciplinary backgrounds, particularly of the project leaders, affect how projects approach their data and its sensitivity and how they decide to grapple (or not) with issues of representation or privacy. To engage the audience in the further discussion, we will conclude our presentation with insights on data documentation, software interoperability, and collaborative dynamics in interdisciplinary projects.</p>"
x,"Where's the data? A story of data discovery, cleaning, and equality",Alicia Hofelich Mohr,Cynthia Hudson Vitale,Joel Herndon,,,,,"<p>This is a story about the challenges and opportunities that surfaced while answering a deceptively complex question - where&#39;s the data? As faculty and researchers publish articles, datasets, and other research outputs to meet promotion and tenure requirements, address federal funding policies, and institutional open access and data sharing policies, many online locations for publishing these materials have developed over time. How can we capture where all of the research generated on an academic campus is shared and preserved? This presentation will discuss how our multi-institution collaboration, the Reality of Academic Data Sharing (RADS) Initiative, sought to answer this question. We programmatically pulled DOIs from DataCite and CrossRef, making the naive assumption that these platforms, the two predominant DOI registration agencies for US data, would present us with a neutral and unbiased view of where data from our affiliated researchers were shared. However, as we dug into the data, we found inconsistencies in the use and completeness of the necessary metadata fields for our questions, as well as differences in how DOIs were assigned across repositories. Additionally, we recognized the systematic and privileged bias introduced by our choice of data sources. Specifically, while DataCite and CrossRef provide easy discovery of research outputs because they aggregate DOIs, they are also costly commercial services. Many repositories that cannot afford such services or lack local staffing and knowledge required to use these services are left out of the technology that has recently been labeled &ldquo;global research infrastructure&rdquo;. Our presentation will identify the challenges we encountered in conducting this research specifically around finding the data, and cleaning and interpreting the data. We will further engage the audience in a discussion around increasing representation in the global research infrastructure to discover and account for more research outputs.</p>"
x,An evolving research data policy landscape: Reflections on an academic library's place,Sophia Lafferty-Hess,Jen Darragh,,,,,,"<p>Policies communicate expectations to stakeholders, codify legal and administrative procedures, and espouse underlying values. However, often moving from policy to actual practice requires interpretation, the development of new procedures, and has various resource implications. In the United States, the federal government has been expanding policies related to the management and sharing of research data with the NIH Data Management and Sharing policy in effect as of January 2023 and other agencies developing and revising policies in response to the recent &ldquo;Nelson&rdquo; OSTP memo on immediate and equitable access to research. At Duke University, the research administration has also been working to implement a new institutionally-based research data policy. As information professionals situated within a library part of our role is to help researchers navigate this changing policy landscape. Likewise, we are stakeholders when considering the development of resources and services to support policy implementation. We may also take on the role of advocates for values we hold, such as the value of openness or equity in the research enterprise. How can we balance these different roles? What are some common challenges or pitfalls? What makes the library&rsquo;s position in this policy space unique? In this presentation, we will share some reflections from our recent experiences at Duke navigating this complex landscape and engage the audience in a discussion about their experiences.</p>"
x,Ageism and Technology: Social justice perspective,Folasade Oguntoye,,,,,,,"<p>Ageism is a bias that has to do with discriminatory practices and prejudicial attitude towards older people in the society. Ageist submission has always been to foster digital divide. However, technology and ageism is to be considered as having a complimentary effect on each other. Technology can as well be used as a two-edged sword, that is, as a weapon of discrimination or as a tool to foster social justice. Technology in the era of datafication can be of help in educating and eliminating the &ldquo;ism&rdquo; in terms of technological design, accessibility and use; which as well demands a paradigm shift from a mindset of bias. This paper looks at the two sides of the sword of technology and ageism and emphasizes on fostering social justice.</p>"
X,Making metadata inclusive: content development in the European Language Social Science Thesaurus (ELSST),Sharon Bolton,Lorna Balkan,Jeannine Beeken,Christina Bornatici,,,,"<p>Developing and updating thesaurus content in ELSST is crucial to ensure that it remains a current and relevant resource for data providers, distributors, archives and researchers. The process of content development is an ongoing, cross-national, collaborative enterprise undertaken by ELSST partners drawn from CESSDA&rsquo;s Service Provider organisations. Together, we work to ensure that ELSST remains internationally recognisable and relevant. As a case study, this presentation will focus on a recent update to the ELSST concept hierarchy covering sexuality and gender, completed for the 2022 thesaurus release. It will cover the consultation and research process we undertook to ensure that the updated hierarchy was made as inclusive and comprehensive as possible. It will also describe how this experience has informed our practice for future updates to other potentially sensitive concept hierarchies. Making ELSST content inclusive not only reflects our duty to enable social justice by recognising diversity but also provides better and more precise keyword coverage for research resources. Consistent search results provided by ELSST&rsquo;s comprehensive controlled vocabulary will allow researchers across the community to share and find useful data more easily, as social research evolves in a changing society.</p>"
x,Queering data queries: Facilitating the discovery of MORGAI data,Jonas Recker,Anja Perry,,,,,,"<p>Researchers and research organizations have repeatedly pointed to the existence of a data gap concerning populations with marginalized orientations, relationships, genders, asexualities and intersex conditions (MORGAI) (see for example National Academies of Sciences, Engineering, and Medicine, 2020. https://doi.org/10.17226/25877). Yet, while data is needed to conduct research benefitting these populations, from an ethical perspective we need to protect these populations from repeated, duplicate collection of often highly sensitive data. Therefore, in addition to closing the data gap, we argue that efforts must also be made to close the &ldquo;discovery gap&rdquo; for this data. We will set out by presenting strategies currently employed by social science data repositories to make MORGAI data in their holdings visible and findable (if any), including curated collections and bibliographies, or the use of controlled vocabularies. We then present first findings from an analysis of web queries and search queries in the catalog of the GESIS data holdings for MORGAI data and put these into context of current research about data discovery strategies of researchers. We conclude by outlining planned measures to facilitate the discovery of MORGAI data in the GESIS collections. Once these have been implemented, we hope to be able to measure potential effects on data discovery by monitoring the download statistics for these data over the course of a 12-month period.</p>"
x,Central Asia and Mongolia Gender Data Portal,Ryan Womack,Aizada Arystanbek,,,,,,"<p>The Central Asia and Mongolia Gender Data Portal (CAMGDP) is a data portal created by Rutgers University - New Brunswick Libraries to assist scholars, academics, activists, and students in finding gender-related data on Central Asia and Mongolia. We compile quantitative and qualitative sources, informational websites, media publications, and organizations that work in Kazakhstan. Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, and Mongolia. Our focus on gendered data comes from personal research interests and observations of the lack of gender-related data portals on the countries of Central Asia and Mongolia, countries that share similar cultural, political, and economic influences. Given the rising interest in the region, our goal is to provide a guide to everyone committed to a non-violent knowledge production on Central Asia and Mongolia. We aim to not only collect a list of sources as a starting point for research but also to assist in the critical analysis of the gender-related data and publications available on Central Asia and Mongolia. While INGOs and their contribution are important, our portal prioritizes local initiatives and grassroots organizations in an effort to give them the same credit and exposure as their international and foreign counterparts often receive in Western scholarship and media. By creating a comprehensive data portal with relevant reflections, remarks, and facts, we hope to help researchers find local, regional, and international initiatives, publications, and secondary sources and engage in a more horizontal work with Central Asian and Mongolian communities. This poster describes initial work on development of the portal and initial research on Kazakhstan, the first country to be profiled.</p>"
x,The role of trust and data management for better educational system - VEO project,David H. Schiller,,,,,,,"<p>Data on education and learning plays a crucial role in societies. It enables research for a better and more equally educated population as well as an efficient monitoring of the educational system. Main sources for those data are statistical data collections and surveys on theoretical topics. On the other hand, educational data is data on individuals and therefore connected to privacy issues. Thereby, it is not only important to follow the legal rules. Ethical issues are also relevant; but the most important measurement is the trust of the individuals involved into the educational system. It is their trust into the usage of their data and into the benefits of providing their data for research and monitoring purposes. This trust into the system and into the benefits for individuals as well as for the whole population is the key to an efficient educational system based on data driven decisions. The Swiss project Virtual Educational Observatory (VEO) aims on giving a better overview about sources of data for research on education in Switzerland and tries to connect those sources in a meaningful way. To do so, a few different topics need to be addressed. One of them is privacy and ethics in research. The talk will discuss the role of data management for a better understanding of the usage of data and therefore, for more solid trust between the individual participants in the educational system and the research community as well as the political monitoring of the educational system.</p>"
x,Question driven equivalence,Jon Johnson,Hayley Mills,,,,,,"<p>Data harmonization allows data collected by different studies or at different time periods to be more similar and comparable. Whether this is done retrospectively or prospectively the data for a particular harmonization will often be constrained by the specifics of the research question.<br>
<br>
Data providers, or metadata providers have a wider role in assisting a large number of potential users of the data, to discover data items which are or could potentially be comparable in a range of unspecified scenarios. Such an undertaking requires a shift in perspective from &ldquo;harmonized data&rdquo; to &ldquo;harmonizable data&rdquo; and constructing a generic framework to enable that to be carried out in a sustainable and scalable way.<br>
<br>
The panel discussion will bring together the experiences of a number of data and metadata providers and a software provider currently working to create such discoverable resources.<br>
<br>
Collectively the panel will be able to speak to a range of social science domains, political science, mental health, aging studies and multi-purpose cohort studies on how these challenges can be addressed using the DDI-Lifecycle metadata standard.</p>"
x,Finding tools for data documenting racism and the Black experience internationally and guides for searching and using data with an antiracism lens,Jennifer Boettcher,Van Bich Tran,Jenny McBurney,Kevin Manuel,Anja Perry,Ryan Womack,Ryan Womack,"<p>In the wake of the murders of George Floyd, Breonna Taylor and Ahmaud Arbery in 2020, among other (on-going) acts of violence against African Americans, a group of IASSIST members felt compelled to gather materials that can help all of us better recognize, acknowledge and combat inherent racial bias. Their work led to the formation of the current IASSIST Anti-Racism Resources Action Group. This Group has three subgroups that have been working to compile a variety of resources that might otherwise be difficult to find, such as: (1) sources of data and datasets on a variety of topics that document racism and the Black experience internationally; (2) tools, articles and rubrics for building anti-racism into the process of working with data across the research lifecycle.<br>
<br>
This panel consists of members of the subgroup that is working to developing a guide for finding these race and race-related data and resources. We will discuss the challenges and considerations in finding data documenting racism and the Black experience internationally, as well discrimination based on indigenous, national, and cultural/ethnic origins. We will share strategies and examples of how to apply the strategies. We will answer questions about the finding tool and the related list of data sources and guides for working with an anti-racism lens. We may begin to explore how these tools might be adapted and expanded over time to address other types of discrimination, such as by migrant/refugee status, religion, gender identity, or sexuality.&quot; The panel welcome participants feedback on strategies and their knowledge and experience that can contribute to making these tools applicable internationally and inclusive.</p>"
x,When to use the k-rule? Managing the risk of de-anonymisation in survey data,Anja Perry,,,,,,,"<p>Ethical and legal considerations require anonymisation to protect respondents&rsquo; privacy when sharing survey data. When anonymising data, it is often not sufficient to eliminate direct identifiers, such as names, contact details, and IP-addresses. Also indirect identifiers need to be considered. Indirect identifiers can, in combination, be used to re-identify respondents, for example, the ZIP code combined with an exceptionally high income. Here, social science survey data impose increased challenges on anonymization. The demographic information included are often very detailed and increase the re-identification risk.<br>
<br>
To manage this risk, social science data archives have processes in place to anonymize data or restrict data access. One strategy, k-anonymity, may help to protect respondents of certain surveys, but is not often discussed when anonymizing social science micro data. A dataset is k-anonymous &ldquo;for k &gt; 1 if, for each combination of key attributes, at least k records exist in the data set sharing that combination&rdquo; (Domingo-Ferrer and Torra 2008, p. 991).<br>
<br>
Unique individuals in survey data are most often not considered problematic. Among other factors, sampling procedures make it nearly impossible to rule out that data twins may potentially exist in the population. In this contribution we look at conditions where the protection through sampling is violated or weak and we identify criteria that do make the application of k-anonymity necessary. Doing so, we analyse different risk components within a risk assessment framework for a survey where the exact sample can be replicated and a survey that can potentially include public figures. We compare the risk factors of both survey with a large population survey in which protection through sampling is present.</p>"
x,Known Items and Narrow Topics: What Queries Say About Data Search Strategies,A.J. Million,Sara Lafia,Libby Hemphill,,,,,"<p>Researchers need to be able to find, access, and use data to participate in open science. To understand how users search for research data, we analyzed textual queries issued at a large social science data archive, the Inter-university Consortium for Political and Social Research (ICPSR). We collected unique user queries from 988,475 user search sessions over four years (2012-16). Overall, we found that only 30% of site visitors entered search terms into the ICPSR website. We analyzed search strategies within these sessions by extending existing dataset search taxonomies to classify a subset of the 1,554 most popular queries. We identified five categories of commonly-issued queries: keyword-based (e.g., date, place, topic); name (e.g., study, series); identifier (e.g., study, series); author (e.g., institutional, individual); and type (e.g., file, format). While the dominant search strategy used short keywords to explore topics, directed searches for known items using study and series names were also common. We further distinguished exploratory browsing from directed search queries based on their page views, refinements, search depth, duration, and length. Directed queries were longer (i.e., they had more words), while sessions with exploratory queries had more refinements and associated page views. By comparing search interactions at ICPSR to other natural language interactions in similar web search contexts, we conclude that dataset search at ICPSR is underutilized. We envision how alternative search paradigms, such as those enabled by recommender systems, can enhance dataset search.</p>"
x,"Successes, pain points, and lessons learned when curating data at scale: The NACJD experience",A.J. Million,,,,,,,"<p>Established in 1978, the National Archive of Criminal Justice&nbsp;Data&nbsp;(NACJD) archives and disseminates&nbsp;data&nbsp;on crime and justice for secondary analysis. To support research on crime and justice,&nbsp;NACJD&nbsp;staff curate datasets from three U.S. federal agencies: 1) the Bureau of Justice Statistics, 2) the National Institute of Justice, and 3) the Office of Juvenile Justice and Delinquency Prevention. This presentation will describe how&nbsp;NACJD&nbsp;retooled established&nbsp;data&nbsp;curation efforts in the face of staff turnover, organizational change, increasingly complex&nbsp;data&nbsp;deposits, and growth in deposit counts.<br>
<br>
In the first part of our presentation, we describe&nbsp;NACJD&rsquo;s history. We show that&nbsp;data&nbsp;release counts remained stable until 2005, when they began increasing. We attribute this increase to widespread broadband Internet access and shifting expectations for&nbsp;data&nbsp;sharing among social scientists. Next, we describe the period from 2006 to 2018. We show that most&nbsp;data&nbsp;NACJD&nbsp;released during this period were quantitative. Finally, we demonstrate that key staff retirements, restructuring at the Inter-university Consortium for Political and Social Research, and an uptick in mixed-method&nbsp;data&nbsp;archiving caused releases to decline.<br>
<br>
In the second half of our presentation, we discuss how&nbsp;NACJD&nbsp;reversed this decline. Specifically, we argue that new hires and workflows helped&nbsp;NACJD&nbsp;increase&nbsp;data&nbsp;releases through ongoing collaboration with stakeholders. We describe these hires and workflows, focusing on how they connect to the&nbsp;data&nbsp;curation lifecycle. However, we also note that our&nbsp;lessons&nbsp;learned&nbsp;cannot address the challenges associated with&nbsp;curating&nbsp;complex (large and non-tabular) datasets, so we propose new avenues for&nbsp;data&nbsp;curation at&nbsp;scale.</p>"
x,Harmonization of traumatic stress research data,Nancy Kassam-Adams,,,,,,,"<p>Presentation as part of Panel on &quot;Metadata Provider Perspectives on Longitudinal Data Harmonization&quot;&nbsp;</p>

<p>Panel abstract: Data harmonization allows data collected by different studies or at different time periods to be more similar and comparable. Whether this is done retrospectively or prospectively the data for a particular harmonization will often be constrained by the specifics of the research question.&nbsp;Data providers, or metadata providers have a wider role in assisting a large number of potential users of the data, to discover data items which are or could potentially be comparable in a range of unspecified scenarios. Such an undertaking requires a shift in perspective from &ldquo;harmonized data&rdquo; to &ldquo;harmonizable data&rdquo; and constructing a generic framework to enable that to be carried out in a sustainable and scalable way.&nbsp;</p>

<p>The panel discussion will bring together the experiences of a number of data and metadata providers and a software provider currently working to create such discoverable resources.&nbsp;&nbsp;Collectively the panel will be able to speak to a range of social science domains, political science, mental health, aging studies and multi-purpose cohort studies on how these challenges can be addressed using the DDI-Lifecycle metadata standard.</p>"
X,Make it explicit: Surfacing Power and Ethics in the CURATE(D) Protocol,Mikala Narlock,Scout Calvert,Lana Tidwell,Dolan Reina,Chano Murray,Rachel Woodbrook,Shawna Taylor,"<p>Abstract: In 2018, the Data Curation Network (DCN) developed the CURATE(D) model, a standardized set of steps for curating research data with an eye toward the FAIR and CARE principles. The CURATE(D) model has proven to be a useful teaching tool for demonstrating data curation best practices; while practical and structured enough to provide a foundation for learners, it also provides enough flexibility to be adaptive for different disciplines and data format needs. The CURATE(D) model has been revised over the years to integrate feedback and keep pace with the evolving data curation profession. In the past year, the DCN has undertaken efforts to rework this model to be responsive to ethical and power considerations highlighted by data sovereignty and data justice movements. This has meant revising the guidance&nbsp; to make explicit the tacit, power-laden assumptions regarding data appraisal and selection criteria, sharing decisions, and the iterative nature of curation. In this presentation, attendees will be invited to compare the previous and current versions of this model, will learn about the revision process, and have the opportunity to provide feedback on the model.</p>"
x,The ODISSEI Portal: building a metadata repository for the social sciences in the Netherlands,Angelica Maria Maineri,,,,,,,"<p>Social science research increasingly relies on the use of interlinked data sources, whereby survey data deposited at national or institutional repositories can be linked to data from other sources, e.g. administrative data stored at statistical offices or commercial data made available by private companies. Most of these data sources are highly sensitive and subject to restricted access conditions. Moreover, these diverse data sources are scattered across various repositories, are documented using different standards, and lack standardised access requirements.</p>

<p>The goal of the ODISSEI Portal is to make diverse data sources available through a single search interface by leveraging metadata, therefore leaving data providers in control of the access to their datasets. The ODISSEI Portal consists of three components: first, metadata of studies and variables from different providers is ingested, harmonised, and enriched using semantic artefacts such as multilingual thesauri. Second, the enriched metadata is used to build a knowledge graph that powers an enhanced search functionality. Third, a data access broker enables users to request access to a dataset from the ODISSEI Portal interface, and forwards the request to the data providers for validation. The data access broker relies on a set of machine-readable access conditions and licences designed to specify additional provisions that often apply to sensitive datasets and are not covered by existing solutions.&nbsp;</p>

<p>During the presentation, the development of the three components of the Portal will be illustrated. The lessons learnt can benefit the wider community, especially for what concerns (1) the collaboration with a diverse array of partners (including social scientists, computer scientists, and software developers); (2) the harmonisation of study- and variable-level metadata using DDI; (3) the adaptations implemented in the DataVerse instance the ODISSEI Portal is hosted on. A prototype of the ODISSEI Portal is already publicly available (https://portal.odissei.nl/).</p>"
x,Understanding Data Anonymization,Kristi Thompson,,,,,,,"<p>Data curators should have a basic understanding of data anonymization so they can support safe sharing of sensitive data and avoid sharing data that accidentally violates confidentiality. This workshop will consist of a lecture followed by an interactive hands-on session using R. The first half will cover the mathematical and theoretical underpinnings of guaranteed data anonymization. Topics covered include an overview of identifiers and quasi-identifiers, an introduction to k-anonymity, a look at some cases where k-anonymity breaks down, and a discussion of various enhancements of k-anonymity.<br>
<br>
The second half will walk participants through some steps to assess the disclosure risk of a dataset and anonymize it using R and the R package SDCMicro.<br>
<br>
Much of the academic material looking at data anonymization is quite abstract and aimed at computer scientists, while material aimed at data curators does not always consider recent developments. This session is intended to help bridge the gap.</p>"
x,RDM goes OER: Community-Sourcing a Canadian Open Educational Resource on Research Data Management,Elizabeth Hill,Kristi Thompson,,,,,,"<p>Canada&rsquo;s federal funding agencies launched their much-anticipated policy on Research Data Management in early 2021. In response, during the summer of 2021 a group of data experts from Canada&rsquo;s data community began to discuss the need to develop a Research Data Management (RDM) resource that would work for teaching RDM in Canada. Canada has its own set of regulations, standards, and resources, as well as two official languages, French and English, and due to the lack of an appropriate teaching resource, instructors have been cobbling together a mix of outdated texts, articles, and web pages from obscure Canadian organizations to teach their classes.<br>
<br>
A small group of librarians took on leadership of the project and decided to develop the textbook as an open, edited, and peer-reviewed collection of chapters. What followed was something of a wild ride as we learned about pedagogy, plain language, translation, applying for academic funding, and working as part of a bilingual project team. Throughout we focused on equity, from ensuring that both languages were treated equally to making sure we had appropriate coverage of Indigenous data concerns. Maintaining the enthusiasm and sense of involvement and ownership of the full community while trying to guide the project towards a cohesive outcome has been a continual balancing act and we will share some of the lessons we learned as well as some issues we still struggle with.<br>
<br>
Despite the challenges, we are fortunate to have the expertise of this diverse community as we develop &ldquo;RDM in the Canadian Context: a Textbook for Practitioners and Learners&rdquo;, with anticipated release of the English version in Summer 2023, with a French edition to follow. We hope to inspire similar efforts elsewhere, and all our material will be open for reuse and adaptation!</p>"
x,"Examining racial attitudes, ethnicity and inequality through the UK Data Service.",Rodney Appleyard,,,,,,,"<p>Evidence-based research into racial inequalities, racism and racial prejudice has the potential to support and drive policy development and reform that will help bring ethnic or racial equality. This poster will highlight key data in the UK Data Service collection that have been vital in building a picture of the circumstances of ethnic minority populations and their relationships to the ethnic majority population in the UK - and important national research using our data collections.<br>
<br>
Impactful research using UK Data Service:<br>
<br>
- Homelessness and Black and Minoritised Ethnic Communities in the UK, Nov 2022<br>
<br>
- Falling Faster Amidst a Cost-of-Living Crisis: Poverty, Inequality and Ethnicity in the UK, Runnymede Trust, October 2022<br>
<br>
- Are some ethnic groups more vulnerable to Covid-19, May 2020<br>
<br>
Key data<br>
<br>
- Evidence for Equality National Survey (EVENS) - UK&rsquo;s first and largest survey to document the impact of Covid-19, and the lockdowns, on the lives of ethnic and religious minority people, available in&nbsp; languages, Centre on the Dynamics of Ethnicity (CoDE) - Expected research access, April 2023.<br>
<br>
- The Ethnic Minority Young People: Differential Treatment in the Youth Justice System, 2006&nbsp;study examines how teenagers are treated by the youth justice system in the UK and highlights clear patterns of under- and over-representation of ethnic minority groups.<br>
<br>
- NatCen&rsquo;s 2017 report on racial prejudice in Britain today, used the&nbsp;British Social Attitudes Survey&nbsp;&ndash; a series run in most years since 1983, designed to produce annual measures of attitudinal movements in Great Britain.<br>
<br>
- British Integration Survey, 2019, - data on levels of diversity in respondents&rsquo; networks, their interactions with people from different backgrounds, and attitudes towards different social groups.&nbsp;<br>
<br>
- British Election Study Ethnic Minority Survey, 2010 - an investigation of the political views and behaviours of Britain&rsquo;s ethnic minority populations.</p>"
x,Servicing the Service: Harnessing your institution's business data,Oliver Parkes,,,,,,,"<p>As modern repositories and archives, we are all gathering information about our users, the services we provide and interactions between the two. At the UK Data Service, we have been exploring and reviewing how to best harness our business data to ensure a data-driven approach to planning and decision making. The review examined which business data we collect, where it is held and how we can use it to deliver business insights and inform strategy. Following this, work was started to develop an internal tool which would allow staff to query the data, visualise it and make informed decisions and reports for our stakeholders. This presentation will discuss the review, the development of the internal tool and lessons we&rsquo;ve learned along the way.</p>"
